year;access_date_week;IGR;access_count;year_access;count_physician;rate_access_per_physician
2021;2021-05;Brumado;0;2021;246;0.0
2021;2021-05;Camacan;0;2021;2;0.0
2021;2021-05;Campina Grande;0;2021;2373;0.0
2021;2021-05;Campo Belo;0;2021;35;0.0
2021;2021-05;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-05;Caratinga;1;2021;716;13.966480446927374
2021;2021-05;Carazinho;0;2021;48;0.0
2021;2021-05;Cascavel;0;2021;36;0.0
2021;2021-05;Catalão;0;2021;250;0.0
2021;2021-05;Catanduva;0;2021;13;0.0
2021;2021-05;Caxias do Sul;2;2021;3731;5.3604931653712145
2021;2021-05;Conceição do Coité;0;2021;33;0.0
2021;2021-05;Cruz Alta;0;2021;226;0.0
2021;2021-05;Curitiba;23;2021;16261;14.144271570014144
2021;2021-05;Curitibanos;0;2021;10;0.0
2021;2021-05;Distrito Federal;34;2021;11128;30.55355859094177
2021;2021-05;Eunápolis - Porto Seguro;0;2021;17;0.0
2021;2021-05;Frederico Westphalen;0;2021;238;0.0
2021;2021-05;Goiana ¿ Timbaúba;0;2021;730;0.0
2021;2021-05;Guarabira;0;2021;22;0.0
2021;2021-05;Guarapuava;0;2021;11;0.0
2021;2021-05;Gurupi;0;2021;32;0.0
2021;2021-05;Ijuí;0;2021;472;0.0
2021;2021-05;Imperatriz;0;2021;10;0.0
2021;2021-05;Itacoatiara;0;2021;14;0.0
2021;2021-05;Jaú;0;2021;172;0.0
2021;2021-05;Ji-Paraná;0;2021;16;0.0
2021;2021-05;Joaçaba - Herval d'Oeste;1;2021;659;15.174506828528074
2021;2021-05;Joinville;0;2021;33;0.0
2021;2021-05;Juiz de Fora;1;2021;2594;3.8550501156515034
2021;2021-05;Linhares;0;2021;733;0.0
2021;2021-05;Maceió;0;2021;46;0.0
2021;2021-05;Manaus;12;2021;3961;30.29537995455693
2021;2021-05;Mantena;1;2021;118;84.7457627118644
2021;2021-05;Maringá;2;2021;2708;7.385524372230429
2021;2021-05;Marília;0;2021;1054;0.0
2021;2021-05;Monteiro;0;2021;5;0.0
2021;2021-05;Mossoró;0;2021;35;0.0
2021;2021-05;Natal;0;2021;34;0.0
2021;2021-05;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-05;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-05;Oliveira;0;2021;431;0.0
2021;2021-05;Passo Fundo;0;2021;1722;0.0
2021;2021-05;Passos;0;2021;455;0.0
2021;2021-05;Patos;0;2021;27;0.0
2021;2021-05;Pinheiro;0;2021;189;0.0
2021;2021-05;Pirapora;0;2021;153;0.0
2021;2021-05;Piumhi;0;2021;36;0.0
2021;2021-05;Ponte Nova;0;2021;12;0.0
2021;2021-05;Porto Alegre;6;2021;15348;3.9093041438623923
2021;2021-05;Princesa Isabel;0;2021;12;0.0
