access_state,access_city,year_access,count_physician
SC,JACINTO MACHADO,2023,15
MG,CRUCILANDIA,2022,47
SC,MELEIRO,2023,16
RS,SAO FRANCISCO DE PAULA,2024,30
ES,IBITIRAMA,2021,6
PB,ASSUNCAO,2021,16
RS,CAMPOS BORGES,2022,47
RS,PROTASIO ALVES,2021,28
SP,MAUA,2023,723
SP,SUZANO,2023,648
RS,TUPANCIRETA,2024,33
PB,JUAZEIRINHO,2022,38
BA,SAO FRANCISCO DO CONDE,2022,61
SC,CAMPOS NOVOS,2021,88
MG,PEDRO LEOPOLDO,2021,575
RS,SARANDI,2021,48
BA,PARAMIRIM,2023,38
SP,CAJURU,2021,91
PA,COLARES,2021,55
RS,GARIBALDI,2024,115
PR,ALMIRANTE TAMANDARE,2024,168
PR,MUNHOZ DE MELO,2024,16
RS,SAO VICENTE DO SUL,2021,11
SP,BIRITIBA MIRIM,2023,38
PE,CANDEIAS,2021,40
SP,VARGEM GRANDE PAULISTA,2024,157
SC,MASSARANDUBA,2024,12
ES,LARANJA DA TERRA,2021,5
MG,LAGOA SANTA,2024,335
MG,ALPINOPOLIS,2023,29
RJ,BARRA DO PIRAI,2023,199
SC,TURVO,2024,54
RS,SAPUCAIA DO SUL,2022,481
RJ,JAPERI,2023,31
RS,MONTAURI,2022,12
MG,JABOTICATUBAS,2023,25
RS,LIBERATO SALZANO,2021,6
PB,AREIA,2023,35
GO,SAO SIMAO,2024,76
PR,ASTORGA,2022,52
RS,SOLEDADE,2021,129
SC,PRAIA GRANDE,2022,8
SP,PRAIA GRANDE,2021,1071
MG,CAETE,2024,38
MG,BETIM,2024,717
RJ,ITABORAI,2023,277
RS,VIAMAO,2022,670
MG,PIRAPORA,2022,91
MG,TEOFILO OTONI,2021,167
RS,TAPERA,2022,39
MG,BIAS FORTES,2023,6
PB,BARRA DE SAO MIGUEL,2021,2
MG,SARZEDO,2022,155
CE,ERERE,2024,5
MG,NOVO ORIENTE DE MINAS,2022,19
TO,ALVORADA,2023,9
CE,IRACEMA,2022,17
RJ,RIO CLARO,2023,30
RJ,ITATIAIA,2022,92
MG,LAGOA SANTA,2022,269
ES,ITARANA,2021,8
CE,MORADA NOVA,2022,95
PR,SANTA FE,2021,133
MG,NOVA PONTE,2022,131
RS,ESPUMOSO,2023,66
MG,PESCADOR,2022,7
RS,JULIO DE CASTILHOS,2021,40
RS,SAO PEDRO DO SUL,2023,29
ES,IBIRACU,2021,8
AL,BELEM,2023,8
RS,CARAA,2021,4
RS,IJUI,2024,263
RS,SERAFINA CORREA,2024,74
MG,CARATINGA,2021,374
ES,SANTA LEOPOLDINA,2024,7
BA,LAURO DE FREITAS,2023,1172
PR,CAMPINA GRANDE DO SUL,2022,115
RJ,MARICA,2021,487
SP,PITANGUEIRAS,2021,136
SP,PRADOPOLIS,2023,34
SP,GUAIMBE,2021,15
RS,GUABIJU,2022,6
MG,PEDRO LEOPOLDO,2023,161
MG,ITAIPE,2024,28
ES,DOMINGOS MARTINS,2024,81
SP,PRAIA GRANDE,2024,901
RS,SANTO ANTONIO DA PATRULHA,2023,104
ES,MUNIZ FREIRE,2022,76
MA,SANTA LUZIA,2022,46
RN,CARAUBAS,2023,18
SC,LUZERNA,2022,15
BA,VERA CRUZ,2022,40
PB,CABACEIRAS,2022,11
PB,TAVARES,2024,42
CE,POTIRETAMA,2024,14
MG,ITAIPE,2023,20
SP,JANDIRA,2022,460
MG,MESQUITA,2022,4
PB,INGA,2021,23
PB,CAMPINA GRANDE,2024,852
CE,POTIRETAMA,2021,21
BA,VERA CRUZ,2023,73
ES,AFONSO CLAUDIO,2024,38
RJ,BARRA DO PIRAI,2024,172
SC,SAO MIGUEL DO OESTE,2022,111
PA,COLARES,2023,18
BA,SAO FRANCISCO DO CONDE,2023,70
SP,ALTINOPOLIS,2022,65
RS,SANTA BARBARA DO SUL,2023,3
RJ,NILOPOLIS,2022,468
ES,BREJETUBA,2022,46
PE,GOIANA,2021,690
RS,ESTEIO,2023,200
RS,TAPERA,2024,9
PR,AGUDOS DO SUL,2021,17
PB,LAGOA SECA,2023,16
PB,BELEM,2022,52
BA,SAO FRANCISCO DO CONDE,2024,49
RJ,MANGARATIBA,2023,89
PE,SAO PAULO,2023,6
RR,SANTA MARIA,2021,8
SP,MOGI DAS CRUZES,2022,1637
RS,QUARAI,2024,19
PB,ESPERANCA,2022,69
RS,SEBERI,2022,18
RS,CAMPOS BORGES,2024,19
PR,QUITANDINHA,2024,26
SC,SAO JOSE DO CEDRO,2024,16
MG,JABOTICATUBAS,2021,133
MG,ARANTINA,2022,24
SP,BIRITIBA MIRIM,2021,33
RN,ALTO ALEGRE,2022,5
RS,BARAO,2021,59
MG,CORREGO NOVO,2024,20
PR,MARINGA,2022,2718
PR,CAMPO LARGO,2023,276
BA,BRUMADO,2021,107
